product_id,handle,title,variant_id,variant_title,price,compare_at_price
14928459989364,renet-temporal-apprentice-50-teenage-mutant-ninja-turtles-non-foil,"Renet, Temporal Apprentice [50] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880820859252,NM,1.99,1.99
14928459989364,renet-temporal-apprentice-50-teenage-mutant-ninja-turtles-non-foil,"Renet, Temporal Apprentice [50] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880820892020,PL,0.00,
14928458645876,swamp-255-full-art-pizza-basic-land-teenage-mutant-ninja-turtles-foil,Swamp [255] [Full Art] [Pizza Basic Land ] [Teenage Mutant Ninja Turtles] [Foil],53880818303348,NM,1.49,1.49
14928458645876,swamp-255-full-art-pizza-basic-land-teenage-mutant-ninja-turtles-foil,Swamp [255] [Full Art] [Pizza Basic Land ] [Teenage Mutant Ninja Turtles] [Foil],53880818336116,PL,0.00,
14928457597300,splinter-radical-rat-169-teenage-mutant-ninja-turtles-foil,"Splinter, Radical Rat [169] [Teenage Mutant Ninja Turtles] [Foil]",53880816206196,NM,7.99,7.99
14928457597300,splinter-radical-rat-169-teenage-mutant-ninja-turtles-foil,"Splinter, Radical Rat [169] [Teenage Mutant Ninja Turtles] [Foil]",53880816238964,PL,0.00,
14928455991668,ravenous-robots-106-teenage-mutant-ninja-turtles-foil,Ravenous Robots [106] [Teenage Mutant Ninja Turtles] [Foil],53880813027700,NM,6.99,6.99
14928455991668,ravenous-robots-106-teenage-mutant-ninja-turtles-foil,Ravenous Robots [106] [Teenage Mutant Ninja Turtles] [Foil],53880813060468,PL,0.00,
14928455958900,raphael-the-nightwatcher-103-teenage-mutant-ninja-turtles-non-foil,"Raphael, the Nightwatcher [103] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880812962164,NM,7.99,7.99
14928455958900,raphael-the-nightwatcher-103-teenage-mutant-ninja-turtles-non-foil,"Raphael, the Nightwatcher [103] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880812994932,PL,0.00,
14928455893364,raphael-the-nightwatcher-103-teenage-mutant-ninja-turtles-foil,"Raphael, the Nightwatcher [103] [Teenage Mutant Ninja Turtles] [Foil]",53880812896628,NM,9.99,9.99
14928455893364,raphael-the-nightwatcher-103-teenage-mutant-ninja-turtles-foil,"Raphael, the Nightwatcher [103] [Teenage Mutant Ninja Turtles] [Foil]",53880812929396,PL,0.00,
14928456122740,slash-reptile-rampager-108-teenage-mutant-ninja-turtles-foil,"Slash, Reptile Rampager [108] [Teenage Mutant Ninja Turtles] [Foil]",53880813289844,NM,12.99,12.99
14928456122740,slash-reptile-rampager-108-teenage-mutant-ninja-turtles-foil,"Slash, Reptile Rampager [108] [Teenage Mutant Ninja Turtles] [Foil]",53880813322612,PL,0.00,
14928456188276,slash-reptile-rampager-108-teenage-mutant-ninja-turtles-non-foil,"Slash, Reptile Rampager [108] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880813420916,NM,9.99,9.99
14928456188276,slash-reptile-rampager-108-teenage-mutant-ninja-turtles-non-foil,"Slash, Reptile Rampager [108] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880813453684,PL,0.00,
14928461103476,shark-shredder-killer-clone-73-teenage-mutant-ninja-turtles-non-foil,"Shark Shredder, Killer Clone [73] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880822825332,NM,7.99,7.99
14928461103476,shark-shredder-killer-clone-73-teenage-mutant-ninja-turtles-non-foil,"Shark Shredder, Killer Clone [73] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880822858100,PL,0.00,
14952999911796,raphael-tough-turtle-104-teenage-mutant-ninja-turtles-non-foil,"Raphael, Tough Turtle [104] [Teenage Mutant Ninja Turtles] [Non-Foil]",53932871614836,NM,0.75,0.75
14952999911796,raphael-tough-turtle-104-teenage-mutant-ninja-turtles-non-foil,"Raphael, Tough Turtle [104] [Teenage Mutant Ninja Turtles] [Non-Foil]",53932871647604,PL,0.00,
14732035785076,one-piece-extra-booster-one-piece-heroines-edition-booster-box,One Piece Extra Booster: One Piece Heroines Edition - Booster Box,52313686573428,Default Title,599.99,599.99
14928461070708,shark-shredder-killer-clone-73-teenage-mutant-ninja-turtles-foil,"Shark Shredder, Killer Clone [73] [Teenage Mutant Ninja Turtles] [Foil]",53880822759796,NM,9.99,9.99
14928461070708,shark-shredder-killer-clone-73-teenage-mutant-ninja-turtles-foil,"Shark Shredder, Killer Clone [73] [Teenage Mutant Ninja Turtles] [Foil]",53880822792564,PL,0.00,
14953005744500,shredders-revenge-76-teenage-mutant-ninja-turtles-foil,Shredder's Revenge [76] [Teenage Mutant Ninja Turtles] [Foil],53932883640692,NM,0.49,0.49
14953005744500,shredders-revenge-76-teenage-mutant-ninja-turtles-foil,Shredder's Revenge [76] [Teenage Mutant Ninja Turtles] [Foil],53932883673460,PL,0.00,
14928458482036,sally-pride-lioness-leader-24-teenage-mutant-ninja-turtles-non-foil,"Sally Pride, Lioness Leader [24] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880817975668,NM,2.99,2.99
14928458482036,sally-pride-lioness-leader-24-teenage-mutant-ninja-turtles-non-foil,"Sally Pride, Lioness Leader [24] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880818008436,PL,0.00,
14928458416500,sally-pride-lioness-leader-24-teenage-mutant-ninja-turtles-foil,"Sally Pride, Lioness Leader [24] [Teenage Mutant Ninja Turtles] [Foil]",53880817779060,NM,3.99,3.99
14928458416500,sally-pride-lioness-leader-24-teenage-mutant-ninja-turtles-foil,"Sally Pride, Lioness Leader [24] [Teenage Mutant Ninja Turtles] [Foil]",53880817811828,PL,0.00,
14928460153204,renet-temporal-apprentice-50-teenage-mutant-ninja-turtles-foil,"Renet, Temporal Apprentice [50] [Teenage Mutant Ninja Turtles] [Foil]",53880821121396,NM,2.99,2.99
14928460153204,renet-temporal-apprentice-50-teenage-mutant-ninja-turtles-foil,"Renet, Temporal Apprentice [50] [Teenage Mutant Ninja Turtles] [Foil]",53880821154164,PL,0.00,
14928456089972,ravenous-robots-106-teenage-mutant-ninja-turtles-non-foil,Ravenous Robots [106] [Teenage Mutant Ninja Turtles] [Non-Foil],53880813224308,NM,4.99,4.99
14928456089972,ravenous-robots-106-teenage-mutant-ninja-turtles-non-foil,Ravenous Robots [106] [Teenage Mutant Ninja Turtles] [Non-Foil],53880813257076,PL,0.00,
14928457630068,north-wind-avatar-162-teenage-mutant-ninja-turtles-non-foil,North Wind Avatar [162] [Teenage Mutant Ninja Turtles] [Non-Foil],53880816271732,NM,19.99,19.99
14928457630068,north-wind-avatar-162-teenage-mutant-ninja-turtles-non-foil,North Wind Avatar [162] [Teenage Mutant Ninja Turtles] [Non-Foil],53880816304500,PL,0.00,
14953000370548,plains-191-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-foil,Plains [191] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Foil],53932872466804,NM,1.49,1.49
14953000370548,plains-191-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-foil,Plains [191] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Foil],53932872499572,PL,0.00,
14928459858292,mondo-gecko-46-teenage-mutant-ninja-turtles-foil,Mondo Gecko [46] [Teenage Mutant Ninja Turtles] [Foil],53880820662644,NM,9.99,9.99
14928459858292,mondo-gecko-46-teenage-mutant-ninja-turtles-foil,Mondo Gecko [46] [Teenage Mutant Ninja Turtles] [Foil],53880820695412,PL,0.00,
14928456647028,party-dude-128-teenage-mutant-ninja-turtles-foil,Party Dude [128] [Teenage Mutant Ninja Turtles] [Foil],53880814174580,NM,8.99,8.99
14928456647028,party-dude-128-teenage-mutant-ninja-turtles-foil,Party Dude [128] [Teenage Mutant Ninja Turtles] [Foil],53880814207348,PL,0.00,
14928456614260,party-dude-128-teenage-mutant-ninja-turtles-non-foil,Party Dude [128] [Teenage Mutant Ninja Turtles] [Non-Foil],53880814305652,NM,6.99,6.99
14928456614260,party-dude-128-teenage-mutant-ninja-turtles-non-foil,Party Dude [128] [Teenage Mutant Ninja Turtles] [Non-Foil],53880814338420,PL,0.00,
14953000108404,mutant-chain-reaction-125-teenage-mutant-ninja-turtles-foil,Mutant Chain Reaction [125] [Teenage Mutant Ninja Turtles] [Foil],53932871876980,NM,0.49,0.49
14953000108404,mutant-chain-reaction-125-teenage-mutant-ninja-turtles-foil,Mutant Chain Reaction [125] [Teenage Mutant Ninja Turtles] [Foil],53932871909748,PL,0.00,
14928458252660,northampton-farm-188-teenage-mutant-ninja-turtles-non-foil,Northampton Farm [188] [Teenage Mutant Ninja Turtles] [Non-Foil],53880817516916,NM,2.99,2.99
14928458252660,northampton-farm-188-teenage-mutant-ninja-turtles-non-foil,Northampton Farm [188] [Teenage Mutant Ninja Turtles] [Non-Foil],53880817549684,PL,0.00,
14928458187124,northampton-farm-188-teenage-mutant-ninja-turtles-foil,Northampton Farm [188] [Teenage Mutant Ninja Turtles] [Foil],53880817451380,NM,3.99,3.99
14928458187124,northampton-farm-188-teenage-mutant-ninja-turtles-foil,Northampton Farm [188] [Teenage Mutant Ninja Turtles] [Foil],53880817484148,PL,0.00,
14928457367924,mikey-leo-chaos-order-158-teenage-mutant-ninja-turtles-non-foil,"Mikey & Leo, Chaos & Order [158] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880815812980,NM,4.99,4.99
14928457367924,mikey-leo-chaos-order-158-teenage-mutant-ninja-turtles-non-foil,"Mikey & Leo, Chaos & Order [158] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880815845748,PL,0.00,
14928456548724,mutagen-man-living-ooze-124-teenage-mutant-ninja-turtles-non-foil,"Mutagen Man, Living Ooze [124] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880814109044,NM,7.99,7.99
14928456548724,mutagen-man-living-ooze-124-teenage-mutant-ninja-turtles-non-foil,"Mutagen Man, Living Ooze [124] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880814141812,PL,0.00,
14928455926132,raphael-ninja-destroyer-102-teenage-mutant-ninja-turtles-foil,"Raphael, Ninja Destroyer [102] [Teenage Mutant Ninja Turtles] [Foil]",53880812765556,NM,8.99,8.99
14928455926132,raphael-ninja-destroyer-102-teenage-mutant-ninja-turtles-foil,"Raphael, Ninja Destroyer [102] [Teenage Mutant Ninja Turtles] [Foil]",53880812798324,PL,0.00,
14928455860596,raphael-ninja-destroyer-102-teenage-mutant-ninja-turtles-non-foil,"Raphael, Ninja Destroyer [102] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880812831092,NM,6.99,6.99
14928455860596,raphael-ninja-destroyer-102-teenage-mutant-ninja-turtles-non-foil,"Raphael, Ninja Destroyer [102] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880812863860,PL,0.00,
14953006236020,negate-47-teenage-mutant-ninja-turtles-non-foil,Negate [47] [Teenage Mutant Ninja Turtles] [Non-Foil],53932885541236,NM,0.49,0.49
14953006236020,negate-47-teenage-mutant-ninja-turtles-non-foil,Negate [47] [Teenage Mutant Ninja Turtles] [Non-Foil],53932885574004,PL,0.00,
14953006039412,hard-won-jitte-91-teenage-mutant-ninja-turtles-foil,Hard-Won Jitte [91] [Teenage Mutant Ninja Turtles] [Foil],53932884427124,NM,0.49,0.49
14953006039412,hard-won-jitte-91-teenage-mutant-ninja-turtles-foil,Hard-Won Jitte [91] [Teenage Mutant Ninja Turtles] [Foil],53932884459892,PL,0.00,
14928457269620,mikey-don-party-planners-157-teenage-mutant-ninja-turtles-non-foil,"Mikey & Don, Party Planners [157] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880815550836,NM,7.99,7.99
14928457269620,mikey-don-party-planners-157-teenage-mutant-ninja-turtles-non-foil,"Mikey & Don, Party Planners [157] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880815583604,PL,0.00,
14928456581492,mutagen-man-living-ooze-124-teenage-mutant-ninja-turtles-foil,"Mutagen Man, Living Ooze [124] [Teenage Mutant Ninja Turtles] [Foil]",53880814240116,NM,9.99,9.99
14928456581492,mutagen-man-living-ooze-124-teenage-mutant-ninja-turtles-foil,"Mutagen Man, Living Ooze [124] [Teenage Mutant Ninja Turtles] [Foil]",53880814272884,PL,0.00,
14953000141172,mutant-chain-reaction-125-teenage-mutant-ninja-turtles-non-foil,Mutant Chain Reaction [125] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872073588,NM,0.49,0.49
14953000141172,mutant-chain-reaction-125-teenage-mutant-ninja-turtles-non-foil,Mutant Chain Reaction [125] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872106356,PL,0.00,
14928459923828,mondo-gecko-46-teenage-mutant-ninja-turtles-non-foil,Mondo Gecko [46] [Teenage Mutant Ninja Turtles] [Non-Foil],53880820728180,NM,7.99,7.99
14928459923828,mondo-gecko-46-teenage-mutant-ninja-turtles-non-foil,Mondo Gecko [46] [Teenage Mutant Ninja Turtles] [Non-Foil],53880820760948,PL,0.00,
14928457302388,mikey-leo-chaos-order-158-teenage-mutant-ninja-turtles-foil,"Mikey & Leo, Chaos & Order [158] [Teenage Mutant Ninja Turtles] [Foil]",53880815616372,NM,5.99,5.99
14928457302388,mikey-leo-chaos-order-158-teenage-mutant-ninja-turtles-foil,"Mikey & Leo, Chaos & Order [158] [Teenage Mutant Ninja Turtles] [Foil]",53880815649140,PL,0.00,
