product_id,title,handle,vendor,product_type,tags,created_at,published_at,product_url,image_url,variant_id,variant_title,sku,option1,option2,option3,price,compare_at_price,available,inventory_management,weight
14928457204084,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Non-Foil],the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:25-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/4a93b4f8cdb408981ddb350d5c14e0e4929b6779_Asset_SIN_MTG_TMT_154_ENG_NF.jpg?v=1770155288,53880815386996,PL,SIN-MTG-TMT-154-ENG-PL-NF,PL,,,0.00,,False,,
14928457171316,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Foil],the-last-ronin-154-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:25-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-last-ronin-154-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/fe0727c592f2aa27b04a7e12e2367bc6a009eeed_Asset_SIN_MTG_TMT_154_ENG_F.jpg?v=1770155289,53880815419764,NM,SIN-MTG-TMT-154-ENG-NM-F,NM,,,7.99,7.99,True,,
14928457171316,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Foil],the-last-ronin-154-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:25-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-last-ronin-154-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/fe0727c592f2aa27b04a7e12e2367bc6a009eeed_Asset_SIN_MTG_TMT_154_ENG_F.jpg?v=1770155289,53880815452532,PL,SIN-MTG-TMT-154-ENG-PL-F,PL,,,0.00,,False,,
14928456712564,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Non-Foil],transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:23-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/c205b20622225e877553e20535220a813c8953f8_Asset_SIN_MTG_TMT_134_ENG_NF.jpg?v=1770155283,53880814436724,NM,SIN-MTG-TMT-134-ENG-NM-NF,NM,,,3.99,3.99,True,,
14928456712564,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Non-Foil],transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:23-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/c205b20622225e877553e20535220a813c8953f8_Asset_SIN_MTG_TMT_134_ENG_NF.jpg?v=1770155283,53880814469492,PL,SIN-MTG-TMT-134-ENG-PL-NF,PL,,,0.00,,False,,
14928456679796,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Foil],transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:23-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/101476f79f1e32b90b06cb16500117c11138f3fd_Asset_SIN_MTG_TMT_134_ENG_F.jpg?v=1770155283,53880814371188,NM,SIN-MTG-TMT-134-ENG-NM-F,NM,,,4.99,4.99,True,,
14928456679796,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Foil],transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:23-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/101476f79f1e32b90b06cb16500117c11138f3fd_Asset_SIN_MTG_TMT_134_ENG_F.jpg?v=1770155283,53880814403956,PL,SIN-MTG-TMT-134-ENG-PL-F,PL,,,0.00,,False,,
14953005810036,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Non-Foil],shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-17T20:34:24-05:00,2026-02-18T12:14:28-05:00,https://facetofacegames.com/products/shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/ce67287adcff36bb6468c58b2cbbf591f8f13947_Asset_SIN_MTG_TMT_77_ENG_NF.jpg?v=1771444181,53932883902836,NM,SIN-MTG-TMT-77-ENG-NM-NF,NM,,,0.99,0.99,True,,
14953005810036,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Non-Foil],shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-17T20:34:24-05:00,2026-02-18T12:14:28-05:00,https://facetofacegames.com/products/shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/ce67287adcff36bb6468c58b2cbbf591f8f13947_Asset_SIN_MTG_TMT_77_ENG_NF.jpg?v=1771444181,53932883935604,PL,SIN-MTG-TMT-77-ENG-PL-NF,PL,,,0.00,,False,,
14953005449588,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Foil],shredders-technique-77-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-17T20:34:18-05:00,2026-02-18T12:14:28-05:00,https://facetofacegames.com/products/shredders-technique-77-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/7ae49ceee92224c11ed06f55da5f4eb39818921b_Asset_SIN_MTG_TMT_77_ENG_F.jpg?v=1771444181,53932882788724,NM,SIN-MTG-TMT-77-ENG-NM-F,NM,,,0.99,0.99,True,,
